name,uses_cleaned_llm
Tritelsar 40 Tablet,Tritelsar 40 Tablet is utilized for managing hypertension (high blood pressure).
Telmikind CT 40mg/6.25mg Tablet,Telmikind CT 40mg/6.25mg Tablet is used for managing hypertension (high blood pressure).
Terbest 500 Tablet,Terbest 500 Tablet is used for the treatment of fungal infections.
Trinicalm Forte Tablet,Trinicalm Forte Tablet is used for the treatment of Schizophrenia.
Triben Plus Cream,Triben Plus Cream is used for treating various skin infections.
Tegrital CR 300 Divitabs,"Tegrital CR 300 Divitabs is used for the management of epilepsy, seizures, trigeminal neuralgia, and diabetic nerve pain."
Tocin Eye Drop,Tocin Eye Drop is used for treating bacterial eye infections.
Topcid 20 Tablet,"Topcid 20 Tablet is utilized for the treatment of conditions such as gastroesophageal reflux disease, peptic ulcer disease, and heartburn."
Tsart Trio 6.25 Tablet,Tsart Trio 6.25 Tablet is used for managing hypertension (high blood pressure).
Tetglob 500IU Injection,Tetglob 500IU Injection is utilized for the treatment of tetanus.
Telsar A Tablet,Telsar A Tablet is utilized for managing hypertension.
Tiare 90mg Tablet,Tiare 90mg Tablet is used for the prevention of heart attacks and strokes.
Tasulin 0.4 Tablet PR,Tasulin 0.4 Tablet PR is utilized for the treatment of benign prostatic hyperplasia.
Tamodex 10mg Tablet,Tamodex 10mg Tablet is used for the treatment of breast cancer.
Telmiduce AM 40mg/5mg Tablet,Telmiduce AM 40mg/5mg Tablet is utilized for the management of hypertension (high blood pressure).
Topnac P Tablet,Topnac P Tablet is utilized for providing pain relief.
Takfa Ointment,Takfa Ointment is used for treating atopic dermatis.
Trajenta Duo 2.5mg/1000mg Tablet,Trajenta Duo 2.5mg/1000mg Tablet is utilized for the management of Type 2 diabetes mellitus.
Telrose Tablet,Telrose Tablet is used for managing high blood pressure concurrently with high cholesterol levels.
Tusq-D Cough Lozenges Sugar Free,Tusq-D Cough Lozenges Sugar Free are designed for the relief of dry coughs.
Taxim-O Forte Dry Syrup,Taxim-O Forte Dry Syrup is utilized for the treatment of various bacterial infections.
Tenepla Tablet,Tenepla Tablet is used for the management of Type 2 diabetes mellitus.
Tibrolin D  Tablet,Tibrolin D Tablet is utilized for providing pain relief.
Testoviron Depot 100 Injection,Testoviron Depot 100 Injection is used for the treatment of male hypogonadism.
Thioford AP Tablet,Thioford AP Tablet is utilized for managing muscular pain.
Trimegavog 2 Tablet SR,Trimegavog 2 Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Torglip M 50/1000 Tablet,Torglip M 50/1000 Tablet is used for managing Type 2 diabetes mellitus.
Telvas H 80/12.5 Tablet,Telvas H 80/12.5 Tablet is used for the management of hypertension (high blood pressure).
Telmikind 80 Tablet,"Telmikind 80 Tablet is utilized for the management of hypertension (high blood pressure), prevention of heart attacks, and treatment of heart failure."
Tribet 1 Tablet ER,Tribet 1 Tablet ER is utilized for the management of Type 2 diabetes mellitus.
Thalix 100 Capsule,Thalix 100 Capsule is utilized for the treatment of multiple myeloma and leprosy reactions.
Trivoglitor 2 Tablet SR,Trivoglitor 2 Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Telmed AM Tablet,Telmed AM Tablet is utilized for managing hypertension (high blood pressure).
Thyrox 125 Tablet,Thyrox 125 Tablet is used for the treatment of hypothyroidism.
Triglimiprex 1 Tablet SR,Triglimiprex 1 Tablet SR is utilized for managing Type 2 diabetes mellitus.
Telista MT 25 Tablet SR,Telista MT 25 Tablet SR is utilized for managing hypertension (high blood pressure).
Twinkle Cream,Twinkle Cream is used for the treatment of melasma.
Topirol 50 Tablet,"Topirol 50 Tablet is utilized for the management of epilepsy and seizures, migraines, and Lennox-Gastaut syndrome."
Torvate Chrono 500 Tablet CR,Torvate Chrono 500 Tablet CR is utilized for the management of epileptic conditions.
Tbis 0.1% Ointment,Tbis 0.1% Ointment is utilized for the treatment of atopic dermatitis.
T Glip-M 500 Tablet ER,T Glip-M 500 Tablet ER is utilized for managing Type 2 diabetes mellitus.
Telekast-L Kid Tablet,"Telekast-L Kid Tablet is utilized for managing symptoms such as sneezing and a runny nose associated with allergies, hay fever, and allergic skin conditions."
Telpres 40 Tablet,"Telpres 40 Tablet is utilized for managing hypertension (high blood pressure), reducing the risk of heart attacks, strokes, and treating heart failure."
Tovaxo Eye Drop BAK Free,Tovaxo Eye Drop BAK Free is utilized for the management of glaucoma and ocular hypertension.
Triptolol 10mg/40mg Tablet,Triptolol 10mg/40mg Tablet is utilized for the treatment of migraines.
Tropicacyl Eye Drop,Tropicacyl Eye Drop is utilized for both routine eye examinations and the treatment of uveitis.
Taxim-O CV Dry Syrup,Taxim-O CV Dry Syrup is utilized for the treatment of various bacterial infections.
Tyrodin Tablet,Tyrodin Tablet is utilized for managing conditions related to bleeding.
Torsinex Plus Tablet,Torsinex Plus Tablet is utilized for managing edema conditions.
Telsar H Tablet,"Telsar H Tablet is used for managing high blood pressure, also known as hypertension."
Turbovas-F Tablet,Turbovas-F Tablet is utilized for managing high cholesterol levels and prevention of heart attacks.
Tenvir-EM Tablet,Tenvir-EM Tablet is used for the treatment of HIV infection.
Telma-CT 80/12.5 Tablet,Telma-CT 80/12.5 Tablet is used for the management of hypertension (high blood pressure).
Tiate Transhaler,Tiate Transhaler is utilized for the management of chronic obstructive pulmonary disease (COPD).
Tamflo DFZ Capsule PR,Tamflo DFZ Capsule PR is utilized for the treatment of kidney stones.
Tenohep AF Tablet,Tenohep AF Tablet is utilized for the treatment of chronic hepatitis B virus infection.
Tenoric 25 Tablet,Tenoric 25 Tablet is used for managing hypertension (high blood pressure).
Tantum Oral rinse,Tantum Oral Rinse is utilized for providing pain relief.
Thrize DS Tablet,Thrize DS Tablet is utilized for providing pain relief.
Topinate Gel,Topicate Gel is used for managing various allergic skin conditions.
Tonact EZ Tablet,Tonact EZ Tablet is utilized for managing high cholesterol levels.
Tranlok-M Tablet,Tranlok-M Tablet is used for the management of heavy menstrual bleeding and alleviating associated menstrual pain.
Tigemac 90 Tablet,Tigemac 90 Tablet is utilized for the prevention and treatment of heart attacks and strokes.
Telkonol AM 40mg/5mg Tablet,Telkonol AM 40mg/5mg Tablet is used for the treatment of hypertension (high blood pressure).
Telmiride AM Tablet,Telmiride AM Tablet is utilized for managing hypertension (high blood pressure).
Tolkem SR 450 Tablet,Tolkem SR 450 Tablet is used for the purpose of muscle relaxation.
Terbitotal Tablet,Terbitotal Tablet is used for treating various fungal infections.
Trivoglitor Forte 2 Tablet SR,Trivoglitor Forte 2 Tablet SR is used for the management of Type 2 diabetes mellitus.
Telsartan Trio Tablet,Telsartan Trio Tablet is used for managing hypertension (high blood pressure).
Targocid 200mg Injection,Targocid 200mg Injection is utilized for the treatment of severe bacterial infections.
Tropan XL 5 Tablet,Tropan XL 5 Tablet is used for managing symptoms associated with overactive bladder.
Toplap Gel,Toplap Gel is utilized for providing local anesthesia.
Tazloc-CT 80 Tablet,Tazloc-CT 80 Tablet is used for the management of hypertension (high blood pressure).
Teneblu Tablet,Teneblu Tablet is used for the management of Type 2 diabetes mellitus.
Tosti Oral Gel,Tosti Oral Gel is used for the management of both rheumatoid arthritis and osteoarthritis.
Taxim 250mg Injection,Taxim 250mg Injection is used for the treatment of various bacterial infections.
Terabet-GM Skin Cream,Terabet-GM Skin Cream is utilized for the treatment of various skin infections.
Telista 20 Tablet,"Telista 20 Tablet is utilized for managing hypertension (high blood pressure), preventing heart attacks and strokes, as well as treating heart failure."
Telsartan-H Tablet,Telsartan-H Tablet is used for managing hypertension (high blood pressure).
Trazonil 25 Tablet,Trazonil 25 Tablet is used for the treatment of depression.
Tynept Tablet,Tynept Tablet is used for the treatment of depression.
Telma-AM H 80 Tablet,Telma-AM H 80 Tablet is utilized for managing hypertension (high blood pressure).
Triohale Inhaler,Triohale Inhaler is utilized for the treatment of chronic obstructive pulmonary disease (COPD).
Telma-AM Tablet,Telma-AM Tablet is used for managing hypertension (high blood pressure).
Triglycomet Tablet SR,Triglycomet Tablet SR is utilized for managing Type 2 diabetes mellitus.
Telvas-AM 80/5 Tablet,Telvas-AM 80/5 Tablet is used for managing hypertension (high blood pressure).
Thrize Tablet,Thrize Tablet is utilized for providing pain relief in various conditions.
Thrize Plus Tablet,Thrize Plus Tablet is used for providing pain relief.
Tronin MS Gel,Tronin MS Gel is used for the treatment of acne as well as acute promyelocytic leukemia.
Telmed Beta 50 Tablet,Telmed Beta 50 Tablet is utilized for managing hypertension (high blood pressure).
Tacroz Ointment,Tacroz Ointment is utilized for the treatment of atopic dermatitis.
Telvas-CT 80 Tablet,Telvas-CT 80 Tablet is used for managing hypertension (high blood pressure).
Trulicity 0.75mg Pre-Filled Pen,Trulicity 0.75mg Pre-Filled Pen is utilized for the management of Type 2 diabetes mellitus.
Telpres LN 40 Tablet,Telpres LN 40 Tablet is used for managing hypertension (high blood pressure).
T-Stat 500 Tablet,T-Stat 500 Tablet is utilized for managing conditions related to bleeding.
Tacvido Forte Cream,Tacvido Forte Cream is utilized for the treatment of atopic dermatitis.
Tretin-Iso 10 Capsule,Tretin-Iso 10 Capsule is used for the treatment of acne.
Theo-Asthalin Forte Tablet,Theo-Asthalin Forte Tablet is utilized for the management of asthma symptoms.
Topp D Capsule,Topp D Capsule is utilized for the treatment of gastroesophageal reflux disease and peptic ulcer disease.
Trfy Cream,Trfy Cream is utilized for treating fungal skin infections.
Triactin 4 Tablet,Triactin 4 Tablet is utilized for alleviating muscular pain.
Tenepla M 500mg/20mg Tablet SR,Tenepla M 500mg/20mg Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Tazloc 80 Tablet,"Tazloc 80 Tablet is utilized for the management of hypertension (high blood pressure), as well as preventing complications such as heart attacks, strokes, and heart failure."
Thyrox 150 Tablet,Thyrox 150 Tablet is used for the treatment of hypothyroidism.
Telma-NB Tablet,Telma-NB Tablet is used for managing hypertension (high blood pressure).
Topnac-TH Tablet,Topnac-TH Tablet is utilized for the relief of pain resulting from muscle spasms.
Triolmighty 40 Tablet,Triolmighty 40 Tablet is used for the management of hypertension (high blood pressure).
Tryptomer G 100 mg/10 mg Tablet,Tryptomer G 100 mg/10 mg Tablet is used for managing neuropathic pain.
Tazloc-AM 80 Tablet,Tazloc-AM 80 Tablet is used for the management of hypertension (high blood pressure).
Tinfal Plus Solution,Tinfal Plus Solution is used for treating hair loss.
TG Goal 145 Tablet,TG Goal 145 Tablet is utilized for managing high cholesterol levels and preventing potential heart attacks.
Triolmezest CH 40 Tablet,Triolmezest CH 40 Tablet is used for the management of hypertension (high blood pressure).
Takchlor-C Eye Ointment,Takchlor-C Eye Ointment is utilized for the treatment of bacterial eye infections.
Tamsin 0.4mg Tablet PR,Tamsin 0.4mg Tablet PR is utilized for the treatment of Benign Prostatic Hyperplasia (BPH).
Telsartan 20 Tablet,"Telsartan 20 Tablet is used for the management of hypertension (high blood pressure), prevention of heart attacks, treatment of chronic heart failure, and reducing the risk of strokes."
Tenormin 50 Tablet,"Tenormin 50 Tablet is utilized for the management of hypertension (high blood pressure), angina (chest pain due to reduced blood supply to heart muscle), arrhythmia (irregular heart rhythm), and treatment of acute myocardial infarction (heart attack)."
Telday 40 Tablet,"Telday 40 Tablet is utilized for managing conditions associated with hypertension (high blood pressure), reducing the risk of heart attacks and strokes, and assisting in the treatment of heart failure."
Tolaz DT 5 Tablet,Tolaz DT 5 Tablet is used for the management of schizophrenia and mania symptoms.
Tyrodin -FSR Tablet,Tyrodin - FSR Tablet is utilized for managing various forms of bleeding.
Tocin-F Eye Drop,Tocin-F Eye Drop is utilized for the treatment of bacterial eye infections.
Telkonol  40mg Tablet,"Telkonol 40mg Tablet is utilized for the management of hypertension (high blood pressure), as well as the prevention of heart attacks and strokes, and treatment of heart failure."
Torbulk Powder,Torbulk Powder is used for treating constipation.
Thyrox 88 Tablet,Thyrox 88 Tablet is used for the treatment of hypothyroidism.
Telsar 20 Tablet,"Telsar 20 Tablet is used for managing hypertension (high blood pressure), preventing recurrent heart attacks, and treating heart failure."
Tendolife Capsule,Tendolife Capsule is used for the relief of arthralgia (joint pain).
Tegrital 400 Tablet,"Tegrital 400 Tablet is utilized for the management of epileptic seizures, trigeminal neuralgia, and diabetic nerve pain."
Torget 10 Tablet,Torget 10 Tablet is used for the management of hypertension (high blood pressure) and edema (swelling due to fluid retention).
Tretiva 5 Capsule,Tretiva 5 Capsule is used for the treatment of acne.
Tel-Revelol 40/50 Tablet ER,Tel-Revelol 40/50 Tablet ER is utilized for managing hypertension (high blood pressure).
